badge,chapter_name,other_badge
7,Beta Iota,151
11,Beta Nu,109
27,Beta Nu,123
28,Beta Nu,145
55,Delta Beta,142
58,Delta Zeta,45
65,Beta Iota,217
66,Delta Zeta,46
84,Beta Zeta,283
90,Beta Iota,262
91,Beta Iota,253
91,Beta Iota,283
91,Beta Iota,314
93,Delta Sigma,78
101,Beta Iota,238
103,Delta Zeta,68
104,Beta Iota,313
107,Epsilon Theta,2
112,Gamma Nu,302
114,Beta Iota,327
117,Beta Rho,271
132,Delta Zeta,95
148,Delta Zeta,147
160,Epsilon Zeta,105
222,Epsilon Nu,139
249,Epsilon Nu,168
306,Gamma Kappa,713
311,Beta Nu,549
322,Gamma Mu,711
351,Gamma Theta,608
355,Nu,717
363,Beta Zeta,784
366,Epsilon Chi,202
367,Beta Nu,623
368,Beta Upsilon,416
374,Gamma Nu,563
397,Delta Gamma,498
400,Beta Nu,712
422,Gamma Gamma,625
423,Beta Nu,685
428,Epsilon Nu,564
434,Gamma Beta,734
456,Epsilon Theta,310
458,Beta Zeta,856
463,Beta Nu,796
468,Gamma Beta,1081
475,Beta Nu,811
479,Beta Nu,844
501,Zeta Eta,156
513,Beta Nu,857
553,Delta Delta,765
559,Epsilon Eta,701
601,Beta Tau,639
609,Beta Nu,957
621,Beta Nu,927
639,Rho,1210
645,Gamma Nu,929
759,Gamma Kappa,1198
796,Beta Zeta,1150
875,Beta Nu,1195
887,Epsilon Delta,1339
902,Alpha,303
963,Alpha,326
980,Alpha,317
986,Kappa Delta,12
1071,Beta Rho,1405
1082,Alpha,449
1082,Omega,66
1091,Alpha,446
1208,Alpha,544
1217,Alpha,532
1230,Alpha,542
1236,Alpha,566
1280,Alpha,587
1323,Alpha,622
1352,Alpha,621
